GRB,BAT RA (J2000),BAT Dec (J2000),BAT T90 [sec],BAT Fluence (15-150 keV) [10^-7 erg/cm^2],BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec],XRT Time to First Observation [sec],XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s],XRT Spectral Index (Gamma),XRT Column Density (NH) [10^21 cm^-2],UVOT Time to First Observation [sec],Redshift,log(BAT T90 [sec]),log(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),log(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),log(XRT Time to First Observation [sec]),log(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),log(XRT Spectral Index (Gamma)),log(XRT Column Density (NH) [10^21 cm^-2]),log(UVOT Time to First Observation [sec]),log(Redshift),NORM(BAT T90 [sec]),NORM(BAT Fluence (15-150 keV) [10^-7 erg/cm^2]),NORM(BAT 1-sec Peak Photon Flux (15-150 keV) [ph/cm^2/sec]),NORM(XRT Time to First Observation [sec]),NORM(XRT Early Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 11 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT 24 Hour Flux (0.3-10 keV) [10^-11 erg/cm^2/s]),NORM(XRT Spectral Index (Gamma)),NORM(XRT Column Density (NH) [10^21 cm^-2]),NORM(UVOT Time to First Observation [sec]),NORM(Redshift)
90113,32.067,33.436,9.1,7.6,2.5,70.91,81.3,0.031875012,0.011442024,2.25448,3.13819,79,1.7493,0.959041392,0.880813592,0.397940009,1.850707485,1.910090546,-1.496549643,-1.941497146,0.353046387,21.49667923,1.897627091,0.242864296,0.008090466,0.002355067,0.00755287,0.00833413,1.33E-12,0.003242454,0.00343679,0.511804532,0.040943416,0.006745363,0.287178025
90102,128.248,33.107,27,0.68,5.5,387.21,60.9,0.18249756,0.05766978,1.76997,5.29373,395,1.547,1.431363764,-0.167491087,0.740362689,2.587946565,1.784617293,-0.738742938,-1.239051705,0.247965905,21.72376179,2.596597096,0.189490314,0.02454721,0.000122593,0.016616314,0.105858557,9.93E-13,0.018564385,0.017322018,0.197291806,0.069066369,0.082871597,0.253253287
81222,22.748,-34.095,24,48,7.7,51.75,391,0.2564814,0.0810257,1.99296,2.97084,60,2.7,1.380211242,1.681241237,0.886490725,1.713910354,2.592176757,-0.590944124,-1.091377208,0.299498582,21.47287926,1.77815125,0.431363764,0.021789096,0.015388586,0.02326284,0.002426548,6.39E-12,0.026090319,0.024337333,0.34204257,0.03876003,0.002168152,0.446605849
81221,15.801,-24.542,34,181,18.2,68.4,7360,0.1717238,0.06286634,2.4947,3.74385,78,2.26,1.531478917,2.257678575,1.260071388,1.835056102,3.866877814,-0.76516951,-1.201581823,0.397018327,21.57331844,1.892094603,0.354108439,0.030982808,0.058295964,0.054984894,0.007560224,1.20E-10,0.017468435,0.018882886,0.667739904,0.048845356,0.006504457,0.372819962
081203A,233.071,63.514,294,77,2.9,83.1,1780,0.0685881,0.01521184,2.03508,4.58954,93,2.1,2.46834733,1.886490725,0.462397998,1.919601024,3.250420002,-1.163751228,-1.817818251,0.308581486,21.66176916,1.968482949,0.322219295,0.270019307,0.02474433,0.008761329,0.012092659,2.91E-11,0.006977057,0.004569114,0.369384165,0.059878925,0.010118044,0.345988731
81118,82.572,-43.305,67,12,0.6,153.3,60.1,0.01078578,0.00698124,2.54386,5.01E-06,150,2.58,1.826074803,1.079181246,-0.22184875,2.185542155,1.778874472,-1.967148442,-2.156067432,0.405493206,15.69983773,2.176091259,0.411619706,0.061322056,0.003774559,0.001812689,0.033737347,9.80E-13,0.001097173,0.002096924,0.699651414,6.54E-08,0.023849675,0.426482426
81008,279.968,-57.433,185.5,43,1.3,87.15,150,0.07461,0.018765324,1.98207,1.37301,96,1.9685,2.268343914,1.633468456,0.113943352,1.940267391,2.176091259,-1.12720296,-1.726643933,0.297118988,21.1376737,1.982271233,0.294135419,0.170267537,0.013775527,0.003927492,0.013341391,2.45E-12,0.007589629,0.005636458,0.334973483,0.017913421,0.010840761,0.323936812
81007,339.963,-40.146,10,7.1,2.6,99.35,153,0.14121013,0.05631807,2.102,4.96658,109,0.5295,1,0.851258349,0.414973348,1.997167871,2.184691431,-0.850134147,-1.249352237,0.322632712,21.69605744,2.037426498,-0.276134036,0.0089179,0.002193761,0.007854985,0.017103003,2.50E-12,0.014364462,0.016916011,0.412824324,0.0647981,0.013972537,0.082623424
80928,95.061,-55.176,280,25,2.1,169.7,577,0.06198336,0.01471095,2.13864,3.23856,161,1.692,2.447158031,1.397940009,0.322219295,2.229681842,2.761175813,-1.207724885,-1.832359281,0.330137685,21.51035195,2.206825876,0.228400359,0.257148111,0.007968513,0.006344411,0.038793941,9.43E-12,0.006305196,0.004418663,0.436608656,0.042252926,0.026499639,0.27756909
80906,228.055,-80.54,147,35,1,71.27,717,0.16791489,0.06315426,2.00001,1.968944,62,2,2.167317335,1.544068044,0,1.852906759,2.855519156,-0.774910791,-1.199597349,0.301032167,21.29423336,1.792391689,0.301029996,0.134871748,0.011194632,0.003021148,0.008445128,1.17E-11,0.017080977,0.018969368,0.346618977,0.025688468,0.002649964,0.329219211
080905B,301.746,-62.568,128,18,0.5,103.21,211,0.2478044,0.0810496,1.86248,21.6437,94,2.374,2.10720997,1.255272505,-0.301029996,2.013721778,2.324282455,-0.605890987,-1.091249124,0.270091618,22.33533151,1.973127854,0.375480715,0.117403696,0.00571023,0.001510574,0.018293153,3.45E-12,0.025207659,0.024344512,0.257343347,0.282381567,0.01035895,0.391937215
80810,356.783,0.31,106,46,2,76,426,0.10307385,0.028674756,2.11482,2.82355,65,3.35,2.025305865,1.662757832,0.301029996,1.880813592,2.629409599,-0.986851502,-1.542500269,0.325273409,21.45079548,1.812913357,0.525044807,0.097177531,0.014743362,0.006042296,0.009903524,6.96E-12,0.010485086,0.00861291,0.421146244,0.036838363,0.003372681,0.555607727
80804,328.675,-53.189,34,36,3.1,99.04,55,0.0682385,0.028811486,1.81617,1.36745,91,2.2045,1.531478917,1.556302501,0.491361694,1.995810632,1.740362689,-1.165970528,-1.540434342,0.259156498,21.13591146,1.959041392,0.343310103,0.030982808,0.011517244,0.009365559,0.017007421,8.97E-13,0.006941494,0.008653979,0.227281874,0.017840881,0.009636232,0.363512879
80721,224.481,-11.709,16.2,120,20.9,108.03,50,0.618677,0.16855054,1.9433,6.27022,118,2.602,1.209515015,2.079181246,1.320146286,2.033544376,1.698970004,-0.208536029,-0.773269852,0.288539851,21.79728278,2.071882007,0.415307292,0.014618001,0.03861664,0.063141994,0.019779298,8.15E-13,0.062934311,0.050626785,0.309806493,0.081806463,0.016140689,0.43017172
80707,32.627,33.1,27.1,5.2,1,68.29,35.9,0.0421036,0.018068015,2.07126,3.61762,80,1.23,1.432969291,0.716003344,0,1.834357113,1.555094449,-1.375680769,-1.743089558,0.316234618,21.55842295,1.903089987,0.089905111,0.024639147,0.001580798,0.003021148,0.007526308,5.85E-13,0.004282947,0.00542701,0.392869894,0.047198455,0.006986268,0.200093909
80607,194.964,15.91,79,240,23.1,82.13,4960,0.06214536,0.01937718,2.03418,24.2029,92,3.036,1.897627091,2.380211242,1.36361198,1.914501823,3.695481676,-1.206591292,-1.712709426,0.30838938,22.38386741,1.963787827,0.482301767,0.07235451,0.077330064,0.06978852,0.01179358,8.10E-11,0.006321676,0.005820238,0.368799943,0.315771002,0.009877138,0.502951435
80605,262.13,4.01,20,133,19.9,90.39,175,0.16468998,0.040702662,1.7467,5.47122,82,1.6398,1.301029996,2.123851641,1.298853076,1.956120386,2.243038049,-0.783332823,-1.390377186,0.24221832,21.73808418,1.913813852,0.214790882,0.018111612,0.042810595,0.060120846,0.014340377,2.86E-12,0.016752927,0.01222568,0.182186419,0.07138205,0.00746808,0.268815401
80604,236.96,20.557,82,8,0.4,119.29,89.3,0.010070928,0.006940836,1.65441,0.297198,129,1.416,1.913813852,0.903089987,-0.397940009,2.076604039,1.950851459,-1.996930509,-2.158588217,0.218643146,20.47304588,2.11058971,0.151063253,0.075112623,0.002484111,0.001208459,0.023251081,1.46E-12,0.001024455,0.002084788,0.122277687,0.00387749,0.018790653,0.231285216
080603B,176.554,68.061,60,24,3.5,61.77,1210,0.2930788,0.15327338,1.83449,2.07069,63,2.69,1.77815125,1.380211242,0.544068044,1.790777601,3.08278537,-0.533015595,-0.814533265,0.263515349,21.31611509,1.799340549,0.42975228,0.054886458,0.007645901,0.010574018,0.005516004,1.98E-11,0.029813153,0.046038052,0.23917404,0.02701593,0.00289087,0.444928897
80430,165.331,51.682,16.2,12,2.6,48.87,126,0.22321908,0.09262728,2.03541,3.29518,164,0.75,1.209515015,1.079181246,0.414973348,1.689042339,2.100370545,-0.651268686,-1.033261089,0.308651904,21.51787914,2.214843848,-0.124938737,0.014618001,0.003774559,0.007854985,0.001538561,2.06E-12,0.022706742,0.027822049,0.36959838,0.042991637,0.027222356,0.119600215
080413A,287.301,-27.677,46,35,5.6,60.67,366,0.018960474,0.00739041,2.14652,5.81033,76,2.433,1.662757832,1.544068044,0.748188027,1.782973995,2.563481085,-1.72215081,-2.131331467,0.331734939,21.7642008,1.880813592,0.386142109,0.042015262,0.011194632,0.016918429,0.005176842,5.98E-12,0.001928736,0.002219825,0.441723845,0.075806359,0.006022645,0.401831232
80411,37.961,-71.297,56,264,43.2,70.15,44000,1.8023477,0.6186326,1.97674,3.74016,4202,1.03,1.748188027,2.421603927,1.635483747,1.846027675,4.643452676,0.255838577,-0.208567198,0.29594955,21.57289018,3.623456048,0.012837225,0.051208973,0.085072749,0.130513595,0.0080998,7.19E-10,0.183342051,0.185815955,0.33151359,0.048797213,1,0.16655487
80330,169.278,30.607,61,3.4,0.9,70.54,203,1.68E-16,9.67E-19,2.25433,4.90803,63,1.51,1.785329835,0.531478917,-0.045757491,1.848435455,2.307496038,-15.77469072,-18.01457353,0.353017491,21.69090721,1.799340549,0.178976947,0.055805829,0.001000097,0.002719033,0.008220048,3.32E-12,0,0,0.511707162,0.064034209,0.00289087,0.247048565
080319C,259.006,55.393,34,36,5.2,223.69,10,0.20715288,0.05564812,1.61029,5.62826,210,1.95,1.531478917,1.556302501,0.716003344,2.34964657,1,-0.683709024,-1.254549503,0.206904096,21.75037415,2.322219295,0.290034611,0.030982808,0.011517244,0.01570997,0.055440617,1.62E-13,0.021072423,0.016714781,0.093637821,0.073430924,0.038304023,0.320834451
080319B,217.919,36.3,50,810,24.8,60.47,15600,0.4045594,0.08752274,1.81426,0.753587,51,0.937,1.698970004,2.908485019,1.394451681,1.781539969,4.193124598,-0.393017703,-1.057879095,0.258699526,20.8771334,1.707570176,-0.028260409,0.045692746,0.261218828,0.074924471,0.005115176,2.55E-10,0.041153408,0.026288821,0.226042025,0.009831918,0,0.150959217
80310,220.04,-0.164,365,23,1.3,89.21,150,0.1092369,0.027023336,2.09352,3.64E-11,100,2.4266,2.562292864,1.361727836,0.113943352,1.950413539,2.176091259,-0.961630633,-1.568261039,0.320877114,10.56110138,2,0.384998193,0.335294658,0.007323289,0.003927492,0.013976549,2.45E-12,0.011112016,0.008116881,0.407319654,4.65E-13,0.011804384,0.400757982
80207,207.514,7.492,340,61,1,124.05,817,0.06446102,0.017617536,2.46364,7.58457,55,2.0858,2.531478917,1.785329835,0,2.093596769,2.912222057,-1.190702827,-1.754054832,0.391577247,21.87993096,1.740362689,0.319272663,0.31231038,0.01958254,0.003021148,0.024718727,1.33E-11,0.006557234,0.005291702,0.64757775,0.098954558,0.000963623,0.343607459
71227,58.132,-55.959,1.8,2.2,1.6,79.09,95.9,0.002896282,0.001247277,1.89838,0.452512,86,0.383,0.255272505,0.342422681,0.204119983,1.898121576,1.981818607,-2.538159155,-2.904037086,0.27838315,20.6556301,1.934498451,-0.416801226,0.001379057,0.000612963,0.004833837,0.01085626,1.57E-12,0.000294621,0.000374639,0.280647318,0.005903845,0.008431703,0.058056077
71122,276.576,47.102,68.7,5.8,0.4,139.8,69.4,4.14E-05,5.65E-06,1.68343,1.90E-05,145,1.14,1.836956737,0.763427994,-0.397940009,2.145507171,1.84135947,-4.382999659,-5.247951552,0.226195062,16.2787536,2.161368002,0.056904851,0.062884987,0.001774365,0.001208459,0.029574907,1.13E-12,4.21E-06,1.70E-06,0.141115605,2.48E-07,0.022645146,0.185001342
071112C,39.218,28.368,15,30,8,83.6,125,0.031449936,0.009261924,1.67267,0.366707,92,0.823,1.176091259,1.477121255,0.903089987,1.922206277,2.096910013,-1.502380234,-2.033298787,0.223410268,20.5643192,1.963787827,-0.084600165,0.013514756,0.009581572,0.024169184,0.012246823,2.04E-12,0.003199214,0.002781963,0.134130905,0.004784362,0.009877138,0.131841964
71031,6.399,-58.048,180,9,0.5,102.8,522,0.021756813,0.009918051,1.78089,8.93E-05,114,2.692,2.255272505,0.954242509,-0.301029996,2.011993115,2.717670503,-1.662404721,-2.003573663,0.250637095,16.95085146,2.056904851,0.430075056,0.165210996,0.002806723,0.001510574,0.018166738,8.53E-12,0.00221319,0.002979041,0.204380368,1.17E-06,0.015177066,0.445264288
070724A,27.824,-18.61,0.4,0.3,1,66.76,64.4,7.97E-06,1.08E-06,1.64009,1.2966,58,0.457,-0.397940009,-0.522878745,0,1.824516328,1.808885867,-5.098541679,-5.966576245,0.214867681,21.11280602,1.763427994,-0.3400838,9.19E-05,0,0.003021148,0.007054565,1.05E-12,8.11E-07,3.24E-07,0.112982064,0.016916513,0.001686341,0.070465522
070714B,57.853,28.294,64,7.2,2.7,61.37,243,0.004316754,0.001210303,2.07429,4.3976,70,0.92,1.806179974,0.857332496,0.431363764,1.787956123,2.385606274,-2.3648427,-2.91710589,0.316869474,21.64321572,1.84509804,-0.036212173,0.058563942,0.002226022,0.0081571,0.005392672,3.97E-12,0.000439118,0.000363533,0.394836775,0.057374718,0.00457721,0.148108398
70611,2.004,-29.756,12.2,3.91,0.82,3287.17,5610,0.01543028,0.00635056,1.79969,3.58E-06,3295,2.04,1.086359831,0.592176757,-0.086186148,3.516822165,3.748962861,-1.811626193,-2.197187976,0.255197704,15.55388303,3.517855419,0.309630167,0.010940517,0.001164629,0.002477341,1,9.17E-11,0.00156963,0.00190749,0.216584118,4.67E-08,0.781498434,0.335927019
70529,283.717,20.648,109.2,25.7,1.43,130.96,4,0.034571205,0.012720645,1.97999,36.5193,134,2.4996,2.038222638,1.409933123,0.155336037,2.117138666,0.602059991,-1.461285483,-1.895490867,0.296662997,22.56252244,2.127104798,0.397870516,0.100119518,0.008194341,0.004320242,0.02684928,6.37E-14,0.003516722,0.003820844,0.333623281,0.476460918,0.019995182,0.412999732
70508,312.832,-78.382,20.9,196,24.1,75.92,159,0.27251023,0.07554639,1.82568,7.81747,68,0.82,1.320146286,2.292256071,1.382017043,1.880356199,2.201397124,-0.56461719,-1.121786284,0.261424658,21.89306622,1.832508913,-0.086186148,0.018939046,0.063135142,0.072809668,0.009878858,2.60E-12,0.027720836,0.022691537,0.233455154,0.101993163,0.004095399,0.131338878
70506,347.203,10.711,4.3,2.1,0.96,126.99,25.3,0.14027144,0.0945646,2.03312,6.57188,459,2.31,0.633468456,0.322219295,-0.017728767,2.103769523,1.403120521,-0.853030745,-1.02427141,0.308163013,21.81768962,2.661812686,0.36361198,0.003677485,0.000580701,0.002900302,0.025625214,4.12E-13,0.014268975,0.028403953,0.368111859,0.085742169,0.098289569,0.381204722
070429B,328.006,-38.857,0.47,0.63,1.76,256.26,0.699,0.002380146,0.001155854,3.00655,6.34239,230,0.904,-0.327902142,-0.200659451,0.245512668,2.408680822,-0.155522824,-2.623396402,-2.93709702,0.478068431,21.80225294,2.361727836,-0.04383157,0.000156293,0.000106462,0.005317221,0.065482889,9.80E-15,0.000242118,0.000347179,1,0.082748053,0.043122139,0.145425275
070419A,182.755,39.903,115.6,5.58,0.2,112.89,375,3.70E-07,2.09E-08,2.18444,4.44549,115,0.97,2.062957834,0.746634199,-0.698970004,2.052655473,2.574031268,-6.431798276,-7.679853714,0.33934012,21.64791964,2.06069784,-0.013228266,0.106003494,0.001703391,0.00060423,0.021277777,6.13E-12,3.76E-08,6.28E-09,0.46633907,0.05799953,0.015417972,0.156493158
70411,107.342,1.061,121.5,27,0.91,96.48,510,0.05646576,0.02344524,2.2428,20.9602,243,2.954,2.084576278,1.431363764,-0.040958608,1.984437295,2.707570176,-1.248214822,-1.629945317,0.350790547,22.32139542,2.385606274,0.470410491,0.111427783,0.008613737,0.002749245,0.0162181,8.33E-12,0.005743924,0.007042144,0.504222628,0.273464063,0.046253915,0.489200429
70318,48.486,-42.95,74.6,24.8,1.76,63.58,261,0.12982076,0.06677219,1.97117,7.54446,180,0.836,1.872738827,1.394451681,0.245512668,1.803320524,2.416640507,-0.886655853,-1.17540438,0.294724081,21.87762816,2.255272505,-0.077793723,0.068309276,0.007903991,0.005317221,0.006074079,4.26E-12,0.013205889,0.020056069,0.327897904,0.09843125,0.031076849,0.134022002
70306,148.154,10.44,209.5,53.8,4.07,153.2,1280,0.9214605,0.213021,1.94468,27.6984,146,1.497,2.321184027,1.730782276,0.609594409,2.185258765,3.10720997,-0.035523277,-0.671577581,0.288848148,22.44245468,2.164352856,0.1752218,0.192332445,0.017259735,0.012296073,0.033706514,2.09E-11,0.093734665,0.063984182,0.3107023,0.361376179,0.022886052,0.244868527
70208,197.891,61.942,47.7,4.45,0.9,115.48,1.04,0.0377321,0.01445409,2.20341,7.32362,119,1.165,1.678518379,0.648360011,-0.045757491,2.062506775,0.017033339,-1.423289023,-1.840009245,0.343095316,21.8647258,2.075546961,0.066325925,0.043578193,0.001338839,0.002719033,0.022076348,1.54E-14,0.003838261,0.004341511,0.478653173,0.095549989,0.016381595,0.189193721
70129,36.995,11.728,460.6,29.8,0.55,133.69,330,0.1187844,0.05312545,2.27617,1.635154,124,2.3384,2.663323934,1.474216264,-0.259637311,2.126098923,2.51851394,-0.925240592,-1.274697378,0.357204695,21.21355866,2.093421685,0.368918802,0.42318654,0.00951705,0.001661631,0.027691017,5.39E-12,0.012083227,0.015957058,0.525884285,0.021333568,0.017586124,0.385967266
70110,0.934,-52.978,88.4,16.2,0.6,93.44,213,0.07079345,0.044737,2.08596,2.50592,104,2.352,1.946452265,1.209515015,-0.22184875,1.97053283,2.328379603,-1.150006923,-1.349333142,0.319305976,21.3989672,2.017033339,0.371437317,0.080996598,0.005129529,0.001812689,0.01528078,3.48E-12,0.007201394,0.013437456,0.402412188,0.0326943,0.012768008,0.388247921
061222B,105.353,-25.866,40,22.4,1.59,145.08,130,6.83E-05,1.02E-05,1.91478,42.8659,146,3.355,1.602059991,1.350248018,0.201397124,2.161607547,2.113943352,-4.165579296,-4.991399828,0.282118883,22.63211195,2.164352856,0.525692525,0.036499035,0.007129722,0.004803625,0.031202883,2.12E-12,6.95E-06,3.06E-06,0.291293143,0.559263898,0.022886052,0.556446203
061222A,358.254,46.524,71.4,79.9,8.53,101.02,1510,0.8398588,0.31370252,1.92748,36.8645,110,2.088,1.853698212,1.902546779,0.930949031,2.004407364,3.178976947,-0.075793723,-0.503481993,0.28498988,22.56660835,2.041392685,0.319730494,0.065367289,0.025679905,0.025770393,0.017617913,2.47E-11,0.085433812,0.094225447,0.299537166,0.480964682,0.014213443,0.343976389
61201,332.079,-74.568,0.76,3.34,3.86,81.32,10,0.015833376,0.003697704,1.65934,1.467448,86,0.111,-0.119186408,0.523746467,0.586587305,1.91019737,1,-1.800426475,-2.432067857,0.219935382,21.16656272,1.934498451,-0.954677021,0.000422911,0.00098074,0.011661631,0.011543834,1.62E-13,0.001610635,0.001110663,0.125477926,0.019145537,0.008431703,0.012442984
61121,147.228,-13.188,81.3,137,21.1,55.4,1840,0.6089238,0.192577,1.90181,5.66912,62,1.314,1.910090546,2.136720567,1.324282455,1.743509765,3.264817823,-0.215437051,-0.715395583,0.279167127,21.75351565,1.792391689,0.118595365,0.074469063,0.044101042,0.063746224,0.003551949,3.01E-11,0.061942176,0.057843507,0.282873853,0.073964017,0.002649964,0.214180306
061110B,323.912,6.872,134,13.3,0.45,3042.21,0.099,0.00364004,0.000966909,2.21817,28.9432,3046,3.44,2.127104798,1.123851641,-0.346787486,3.48318919,-1.004364805,-2.438893844,-3.014614397,0.345994827,22.46154655,3.483729899,0.536558443,0.122919923,0.004193954,0.001359517,0.924471756,0,0.000370279,0.000290426,0.488234416,0.377616867,0.721512888,0.570700295
061110A,336.284,-2.252,40.7,10.6,0.53,69.22,522,0.0099102,0.00601252,1.82722,3.75E-05,71,0.758,1.609594409,1.025305865,-0.27572413,1.840231595,2.717670503,-2.003917581,-2.220943466,0.26179084,16.57403127,1.851258349,-0.120330794,0.037142594,0.003322902,0.001601208,0.007813054,8.53E-12,0.001008105,0.001805954,0.234454823,4.89E-07,0.004818116,0.120941776
61021,145.146,-21.953,46.2,29.6,6.11,72.79,268,0.32195809,0.14521797,1.99282,0.743722,80,0.3463,1.664641976,1.471291711,0.78604121,1.862071719,2.428134794,-0.492200658,-0.837979639,0.299468073,20.87141063,1.903089987,-0.460547508,0.042199136,0.009452528,0.018459215,0.008913788,4.38E-12,0.032750871,0.043618483,0.341951691,0.009703211,0.006986268,0.051901664
61007,46.299,-50.496,75.3,444,14.6,80.45,3360,0.10166368,0.03237049,1.99824,5.51902,80,1.261,1.876794976,2.64738297,1.164352856,1.905526048,3.526339277,-0.992834174,-1.489850727,0.300647648,21.74186197,1.903089987,0.100715087,0.068952836,0.143142885,0.044108761,0.011275587,5.49E-11,0.010341638,0.009722982,0.345470007,0.072005688,0.006986268,0.20529246
