XRT Spectral Index (Gamma),XRT Column Density,XRT Early Flux,BAT T90,Redshift,,Log(XRT Spectral Index (Gamma)),Log(XRT Column Density),Log(XRT Early Flux),Log(BAT T900,Log(Redshift),,Norm(XRT Spectral Index (Gamma)),Norm(XRT Column Density),Norm(XRT Early Flux),Norm(BAT T90),Norm(Redshift)
2.04497,2.63573,43.7,46.4,2.092,,0.310686941,21.42090092,1.640481437,1.666517981,0.32056168,,0.06785428,0.026680366,7.13301E-13,0.04246224,0.344647169
1.86465,0.177676,164,276.58,5.91,,0.270597326,20.24962877,2.214843848,2.441820772,0.771587481,,0.046719628,0.024327762,2.67899E-12,0.254065583,0.984907432
2.08823,2.23996,176,37.7,1.06,,0.319778331,21.35024026,2.245512668,1.57634135,0.025305865,,0.072924627,0.027244771,2.87507E-12,0.034464373,0.171585726
2.0604,1.577583,583,204,3.6,,0.313951541,21.19799222,2.765668555,2.309630167,0.556302501,,0.069662774,0.026881678,9.52539E-12,0.187343145,0.597531527
1.92439,0.524335,735,88,2.27,,0.284293091,20.71960885,2.866287339,1.944482672,0.356025857,,0.053721536,0.02510718,1.20091E-11,0.080704915,0.374496914
1.8144,0.44452598,115,27,2.78,,0.258733037,20.64789715,2.06069784,1.431363764,0.444044796,,0.040830009,0.023672159,1.87833E-12,0.024627915,0.460021465
1.78644,0.977721,43800,162.83,0.34,,0.251988434,20.99021494,4.641474111,2.211734423,-0.468521083,,0.037552919,0.02330737,7.15686E-10,0.149495767,0.050845184
1.68684,1.32281,155,300,1.218,,0.227073891,21.12149747,2.190331698,2.477121255,0.085647288,,0.025879165,0.022007906,2.53193E-12,0.275595473,0.198081567
2.0682,4.58545,664,182,1.023,,0.315592534,21.66138196,2.822168079,2.260071388,0.009875634,,0.070576983,0.026983444,1.08489E-11,0.167118653,0.165381003
1.98504,10.9723,158,23.3,2.2,,0.297769263,22.04029767,2.198657087,1.367355921,0.342422681,,0.060830102,0.02589847,2.58095E-12,0.021226524,0.362758251
2.37144,11.9499,610,62.6,1.773,,0.375012141,22.07736427,2.785329835,1.796574333,0.248708736,,0.106118641,0.030939763,9.96657E-12,0.05735482,0.291152401
2.00683,8.83441,110,69,2.298,,0.302510585,21.94617755,2.041392685,1.838849091,0.361350024,,0.063384029,0.02618276,1.79663E-12,0.063238309,0.37919238
2.06954,1.038387,2530,173,3.1,,0.315873825,21.01635924,3.403120521,2.238046103,0.491361694,,0.07073404,0.027000926,4.13391E-11,0.158844998,0.513683928
1.92121,8.26457,297,26.8,2.671,,0.283574838,21.91722026,2.472756449,1.428134794,0.426673888,,0.05334882,0.025065691,4.85219E-12,0.024444056,0.441742688
1.8831,2.228028,175,71.5,0.8,,0.274873383,21.34792064,2.243038049,1.854306042,-0.096910013,,0.048882086,0.024568476,2.85873E-12,0.065536547,0.127984975
1.86175,7.40E-07,51.4,72.8,1.48,,0.269921363,14.86923172,1.710963119,1.862131379,0.170261715,,0.04637973,0.024289927,8.39118E-13,0.06673163,0.242017709
1.94091,0.00172307,159,159,0.3984,,0.288005398,18.23630292,2.201397124,2.201397124,-0.39968067,,0.055657786,0.025322713,2.59729E-12,0.145974866,0.060638583
1.84163,4.75213,74.3,26.7,6,,0.265202381,21.67688831,1.870988814,1.426511261,0.77815125,,0.044021538,0.024027424,1.2133E-12,0.024352127,1
2.32199,6.82E-05,312,5.35,0.28,,0.365860345,16.83378437,2.494154594,0.728353782,-0.552841969,,0.100322786,0.030294597,5.09729E-12,0.004725177,0.040783472
1.89579,5.12667,73.4,38.7,2.876,,0.277790228,21.70983536,1.86569606,1.587710965,0.458788882,,0.050369434,0.02473404,1.19859E-12,0.035383668,0.476120204
1.75797,14.6619,541,62.9,2.81,,0.24501146,22.16619025,2.733197265,1.798650645,0.44870632,,0.034216054,0.022935927,8.83912E-12,0.057630609,0.465052321
1.86299,3.49005,201,69.6,1.798,,0.270210524,21.54283165,2.303196057,1.84260924,0.254789687,,0.046525066,0.024306105,3.28356E-12,0.063789886,0.295344781
1.61077,10.5203,1060,253.8,1.728,,0.207033532,22.02202812,3.025305865,2.404491618,0.237543738,,0.016963277,0.021015434,1.73195E-11,0.23312404,0.283606118
2.03824,2.59076,882,101.2,0.714,,0.30925532,21.41342718,2.945468585,2.005180513,-0.146301788,,0.067065481,0.026592561,1.4411E-11,0.092839611,0.113563188
1.80018,2.086314,296,106.8,0.297,,0.255315932,21.31937967,2.471291711,2.028571253,-0.527243551,,0.039163334,0.023486634,4.83585E-12,0.097987663,0.04363429
2.55463,2.24049,848,290,3.1516,,0.407328008,21.35034301,2.928395852,2.462397998,0.498531092,,0.127589675,0.033329811,1.38555E-11,0.266402523,0.522337
2.11569,3.68767,43.7,26.6,2.893,,0.325452033,21.56675205,1.640481437,1.424881637,0.461348434,,0.076143114,0.027603037,7.13301E-13,0.024260197,0.478971022
1.94053,14.8112,401,63.46,5,,0.287920361,22.17059025,2.603144373,1.802500068,0.698970004,,0.055613247,0.025317755,6.55154E-12,0.058145414,0.832304803
2.33721,3.67E-07,54.2,48,1.348,,0.368697736,14.56466606,1.733999287,1.681241237,0.129689892,,0.102106667,0.03049317,8.84869E-13,0.043933112,0.219881943
2.04784,2.45755,354,385,1.858,,0.311296022,21.39050236,2.549003262,2.58546073,0.26904571,,0.068190662,0.02671781,5.78356E-12,0.353735556,0.305406493
1.85145,9.11048,584,38.8,2.83,,0.267511988,21.95954126,2.766412847,1.588831726,0.451786436,,0.045172504,0.024155544,9.54173E-12,0.035475597,0.468406225
1.85342,11.8741,82.9,13,0.82,,0.267973845,22.0746007,1.918554531,1.113943352,-0.086186148,,0.045403401,0.024181246,1.35382E-12,0.011757784,0.131338878
