GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
130831A,358.635,29.431,1.79449,7.03922E+19,65,32.5,0.4791,-0.411278635,-0.628693747,-0.000699013,-0.37889778,-1.109527769,0.253941043,19.84752454,1.812913357,1.511883361,-0.319573829
130701A,357.224,36.1,1.9213,5.10222E+20,44,4.38,1.155,-0.176790709,-0.581176087,-0.103529234,-0.545710012,-0.620594567,0.283595183,20.70775918,1.643452676,0.641474111,0.062581984
130612A,259.771,16.729,2.18734,7.85251E+21,2.3,4,2.006,0.315151312,0.212058805,-0.307720674,-0.547964231,-0.004997357,0.339916295,21.8950085,0.361727836,0.602059991,0.302330929
130610A,224.414,28.187,2.04497,2.63573E+21,25,46.4,2.092,0.051890955,-0.351543701,-0.196566101,-0.296440809,0.057213407,0.310686941,21.42090092,1.397940009,1.666517981,0.32056168
130606A,249.39,29.796,1.86465,1.77676E+20,29,276.58,5.91,-0.281543812,-0.617103184,-0.176979392,1.069022898,2.819081973,0.270597326,20.24962877,1.462397998,2.441820772,0.771587481
130604A,250.166,68.225,2.08823,2.23996E+21,14,37.7,1.06,0.131884233,-0.394301296,-0.25042955,-0.348050568,-0.68931576,0.319778331,21.35024026,1.146128036,1.57634135,0.025305865
130603B,172.222,17.063,2.20112,2.25766E+21,6.3,0.18,0.356,0.340632297,-0.39238905,-0.288133965,-0.570625068,-1.198575967,0.34264372,21.35365854,0.799340549,-0.744727495,-0.448550002
130514A,296.278,-7.974,2.0604,1.57758E+21,91,204,3.6,0.080423,-0.46586217,0.126614594,0.638467003,1.148071919,0.313951541,21.19799222,1.959041392,2.309630167,0.556302501
130511A,196.654,18.709,2.06879,1.03194E+21,2.2,5.43,1.3033,0.095937184,-0.524811515,-0.308210341,-0.539481248,-0.513317169,0.315716408,21.01365445,0.342422681,0.73479983,0.115044395
130505A,137.06,17.485,1.92439,5.24335E+20,210,88,2.27,-0.171076903,-0.579651368,0.709319181,-0.049663113,0.185975221,0.284293091,20.71960885,2.322219295,1.944482672,0.356025857
130427B,314.9,-22.548,1.8144,4.44526E+20,15,27,2.78,-0.374462495,-0.588273653,-0.245532873,-0.411524639,0.554899518,0.258733037,20.64789715,1.176091259,1.431363764,0.444044796
130427A,173.15,27.706,1.78644,9.77721E+20,3100,162.83,0.34,-0.426164115,-0.530669144,14.8607163,0.394240134,-1.210150063,0.251988434,20.99021494,3.491361694,2.211734423,-0.468521083
130420A,196.118,59.421,2.29559,6.20381E+20,71,123.5,1.297,0.515319422,-0.569274897,0.02868105,0.160928431,-0.517874469,0.360894324,20.79265849,1.851258349,2.091666958,0.112939976
130418A,149.045,13.674,1.68684,1.32281E+21,18,300,1.218,-0.610337267,-0.493386946,-0.230842842,1.207953996,-0.575021566,0.227073891,21.12149747,1.255272505,2.477121255,0.085647288
130408A,134.398,-32.363,2.03183,1.15893E+20,23,28,3.758,0.027593412,-0.623778001,-0.206359456,-0.405592483,1.262366113,0.307887368,20.06405721,1.361727836,1.447158031,0.574956776
130131B,173.957,15.033,2.22317,3.89587E+21,3.4,4.3,2.539,0.38140557,-0.215402621,-0.302334329,-0.546184584,0.380564703,0.346972673,21.59060446,0.531478917,0.633468456,0.404662701
121211A,195.575,30.173,2.0682,4.58545E+21,13,182,1.023,0.094846199,-0.140902831,-0.255326228,0.507959567,-0.716080856,0.315592534,21.66138196,1.113943352,2.260071388,0.009875634
121201A,13.473,-42.929,1.62244,9.5837E+20,7.8,85,3.385,-0.729421112,-0.532759758,-0.280788949,-0.067459581,0.992545009,0.210168645,20.98153321,0.892094603,1.929418926,0.529558673
121128A,300.589,54.301,1.98504,1.09723E+22,69,23.3,2.2,-0.058927288,0.54910991,0.018887696,-0.433473617,0.135338552,0.297769263,22.04029767,1.838849091,1.367355921,0.342422681
121027A,63.598,-58.839,2.37144,1.19499E+22,20,62.6,1.773,0.655575783,0.654726365,-0.221049487,-0.200339879,-0.173545124,0.375012141,22.07736427,1.301029996,1.796574333,0.248708736
121024A,70.481,-12.255,2.00683,8.83441E+21,11,69,2.298,-0.018634789,0.318139817,-0.265119582,-0.16237408,0.206229888,0.302510585,21.94617755,1.041392685,1.838849091,0.361350024
120922A,234.758,-20.181,2.06954,1.03839E+21,62,173,3.1,0.09732403,-0.524115004,-0.015389045,0.454570162,0.786381431,0.315873825,21.01635924,1.792391689,2.238046103,0.491361694
120907A,74.736,-9.323,1.82021,1.10614E+21,6.7,16.9,0.97,-0.363719062,-0.516795209,-0.286175294,-0.471439416,-0.754420048,0.260121496,21.0438101,0.826074803,1.227886705,-0.013228266
120815A,273.976,-52.125,1.84293,5.92144E+21,4.9,9.7,2.358,-0.321706873,0.003432815,-0.294989313,-0.514150941,0.249632747,0.26550884,21.77242733,0.69019608,0.986771734,0.372543801
120811C,199.69,62.297,1.92121,8.26457E+21,30,26.8,2.671,-0.176957131,0.256576314,-0.172082715,-0.41271107,0.476050992,0.283574838,21.91722026,1.477121255,1.428134794,0.426673888
120805A,216.536,5.853,1.62881,2.22035E+20,8.2,48,3.1,-0.717642167,-0.612310836,-0.278830278,-0.286949359,0.786381431,0.211870427,20.34642067,0.913813852,1.681241237,0.491361694
120802A,44.833,13.762,2.03526,1.32214E+22,19,50,3.796,0.033935921,0.792094739,-0.225946164,-0.275085047,1.28985459,0.308619897,22.12127744,1.278753601,1.698970004,0.579326204
120729A,13.078,49.936,1.8831,2.22803E+21,24,71.5,0.8,-0.2474274,-0.395590387,-0.201462778,-0.147543689,-0.877394814,0.274873383,21.34792064,1.380211242,1.854306042,-0.096910013
120724A,245.193,3.535,1.86175,7.4E+14,6.8,72.8,1.48,-0.286906283,-0.636298592,-0.285685626,-0.139831886,-0.38549575,0.269921363,14.86923172,0.832508913,1.862131379,0.170261715
120722A,230.489,13.249,2.62119,5.25362E+22,12,42.4,0.9586,1.117395509,5.039527029,-0.260222905,-0.320169434,-0.762666591,0.418498502,22.72045866,1.079181246,1.627365857,-0.018362575
120714B,355.412,-46.196,1.94091,1.72307E+18,12,159,0.3984,-0.140529308,-0.636112517,-0.260222905,0.371519975,-1.167904614,0.288005398,18.23630292,1.079181246,2.201397124,-0.39968067
120712A,169.598,-20.051,2.20811,9.62723E+21,18,14.7,4,0.353557702,0.403793293,-0.230842842,-0.48449016,1.437424309,0.344020705,21.98350135,1.255272505,1.167317335,0.602059991
120521C,214.288,42.144,1.84163,4.75213E+21,11,26.7,6,-0.324110739,-0.122895312,-0.265119582,-0.413304286,2.884186261,0.265202381,21.67688831,1.041392685,1.426511261,0.77815125
120422A,136.915,13.974,2.32199,6.82E+16,2.3,5.35,0.28,0.564136402,-0.636291304,-0.307720674,-0.53995582,-1.253552921,0.365860345,16.83378437,0.361727836,0.728353782,-0.552841969
120404A,235.002,12.883,1.89579,5.12667E+21,16,38.7,2.876,-0.223961965,-0.082431332,-0.240636196,-0.342118412,0.624344092,0.277790228,21.70983536,1.204119983,1.587710965,0.458788882
120327A,246.854,-29.415,1.75797,1.46619E+22,36,62.9,2.81,-0.47880879,0.947721277,-0.142702652,-0.198560233,0.576600948,0.24501146,22.16619025,1.556302501,1.798650645,0.44870632
120326A,273.906,69.248,1.86299,3.49005E+21,26,69.6,1.798,-0.284613364,-0.259245983,-0.191669424,-0.158814786,-0.1554606,0.270210524,21.54283165,1.414973348,1.84260924,0.254789687
120119A,120.029,-9.076,1.61077,1.05203E+22,170,253.8,1.728,-0.751000436,0.500277425,0.513452093,0.93388838,-0.206097268,0.207033532,22.02202812,2.230448921,2.404491618,0.237543738
120118B,124.862,-7.178,2.20884,2.82973E+21,18,23.26,2.943,0.354907565,-0.330584626,-0.230842842,-0.433710903,0.672810618,0.344164258,21.451745,1.255272505,1.36660971,0.468790262
111229A,76.561,-84.687,1.95309,3.69611E+21,3.4,25.4,1.3805,-0.118006929,-0.236983987,-0.302334329,-0.421016089,-0.457472157,0.290722256,21.56774489,0.531478917,1.404833717,0.140036411
111228A,150.063,18.284,2.03824,2.59076E+21,85,101.2,0.714,0.039446323,-0.356402101,0.097234531,0.028641349,-0.939605578,0.30925532,21.41342718,1.929418926,2.005180513,-0.146301788
111225A,13.158,51.573,1.80018,2.08631E+21,13,106.8,0.297,-0.400757096,-0.410900668,-0.255326228,0.061861423,-1.241255445,0.255315932,21.31937967,1.113943352,2.028571253,-0.527243551
111123A,154.845,-20.639,2.55463,2.24049E+21,73,290,3.1516,0.994317547,-0.394244037,0.038474405,1.148632434,0.823707889,0.407328008,21.35034301,1.86332286,2.462397998,0.498531092
111107A,129.487,-66.52,2.11569,3.68767E+21,8.8,26.6,2.893,0.182661289,-0.237895815,-0.275892272,-0.413897502,0.636641569,0.325452033,21.56675205,0.944482672,1.424881637,0.461348434
111008A,60.439,-32.708,1.94053,1.48112E+22,53,63.46,5,-0.141231977,0.963851123,-0.059459139,-0.195238225,2.160805285,0.287920361,22.17059025,1.72427587,1.802500068,0.698970004
110818A,317.373,-63.981,1.95985,1.16984E+22,40,103,3.36,-0.105506823,0.627555193,-0.123115943,0.03931923,0.974460485,0.292222833,22.06812647,1.602059991,2.012837225,0.526339277
110808A,57.322,-44.177,2.33721,3.67E+14,3.3,48,1.348,0.59228013,-0.636298632,-0.302823996,-0.286949359,-0.480982039,0.368697736,14.56466606,0.51851394,1.681241237,0.129689892
110801A,89.415,80.958,2.04784,2.45755E+21,47,385,1.858,0.057197952,-0.37079364,-0.088839203,1.71218727,-0.112057741,0.311296022,21.39050236,1.672097858,2.58546073,0.26904571
110731A,280.513,-28.536,1.85145,9.11048E+21,60,38.8,2.83,-0.305952302,0.347965446,-0.025182399,-0.341525196,0.591068567,0.267511988,21.95954126,1.77815125,1.588831726,0.451786436
110726A,286.713,56.07,2.07738,7.51502E+20,2.2,5.2,1.036,0.111821194,-0.555109047,-0.308210341,-0.540845644,-0.706676904,0.317515946,20.87593014,0.342422681,0.716003344,0.015359755
110715A,237.665,-46.237,1.85342,1.18741E+22,118,13,0.82,-0.30230952,0.646537201,0.258824879,-0.494574825,-0.862927194,0.267973845,22.0746007,2.071882007,1.113943352,-0.086186148
110503A,132.799,52.211,1.90907,1.36895E+21,100,10,1.613,-0.199405545,-0.488402143,0.170684689,-0.512371294,-0.28928608,0.280821853,21.13638759,2,1,0.207634367
110422A,112.057,75.1,1.89199,1.04926E+22,410,25.9,1.77,-0.230988652,0.497284815,1.688654622,-0.418050011,-0.175715267,0.276918837,22.02088312,2.612783857,1.413299764,0.247973266
110213A,42.978,49.278,1.96436,3.69049E+21,59,48,1.46,-0.097167256,-0.237591152,-0.030079076,-0.286949359,-0.39996337,0.293221082,21.56708403,1.770852012,1.681241237,0.164352856
110205A,164.603,67.533,1.93577,2.34655E+21,170,257,1.98,-0.150033826,-0.382785688,0.513452093,0.95287128,-0.023805262,0.286853755,21.37042981,2.230448921,2.409933123,0.29666519
110128A,193.871,28.108,1.74543,1.05E+16,7.2,30.7,2.339,-0.501996856,-0.636297537,-0.283726955,-0.389575661,0.235888508,0.241902436,16.0211893,0.857332496,1.487138375,0.369030222
101225A,0.2037,44.5739,1.81612,1.31132E+21,19,1088,0.748,-0.371281995,-0.494627961,-0.225946164,5.882493058,-0.915010625,0.259144541,21.11770968,1.278753601,3.036628895,-0.126098402
101219B,12.259,-34.556,1.85684,3.14E+20,21,34,0.5519,-0.295985502,-0.60237522,-0.21615281,-0.369999546,-1.056865634,0.268774483,20.49692965,1.322219295,1.531478917,-0.258139606
101219A,74.586,-2.527,1.53346,5.41159E+21,4.6,0.6,0.718,-0.893956524,-0.05164958,-0.296458316,-0.568133562,-0.936712054,0.185672452,21.73332489,0.662757832,-0.22184875,-0.143875556
100906A,28.697,55.634,2.02817,9.1618E+21,120,114.4,1.727,0.020825604,0.353509878,0.268618233,0.10694581,-0.206820649,0.307104354,21.96198081,2.079181246,2.058426024,0.237292338
100902A,48.626,30.97,2.35636,4.49857E+21,32,428.8,4.5,0.627690932,-0.15028904,-0.162289361,1.97201571,1.799114797,0.372241642,21.65307448,1.505149978,2.632254777,0.653212514
100901A,27.252,22.751,2.07397,3.0175E+21,21,439,1.408,0.105515667,-0.310298617,-0.21615281,2.032523703,-0.437579181,0.31680247,21.47964728,1.322219295,2.64246452,0.148602655
100816A,351.738,26.568,1.91138,2.22759E+21,20,2.9,0.8034,-0.195134059,-0.395637707,-0.221049487,-0.554489603,-0.874935319,0.281347037,21.34783526,1.301029996,0.462397998,-0.095068173
100814A,22.479,-17.99,1.89414,7.87196E+20,90,174.5,1.44,-0.227013026,-0.551252793,0.121717917,0.463468396,-0.414430989,0.277412076,20.89608288,1.954242509,2.241795431,0.158362492
100728B,44.051,0.296,2.04379,3.94372E+21,17,12.1,2.8,0.049708984,-0.210233076,-0.235739519,-0.499913766,0.569367138,0.31043627,21.59590607,1.230448921,1.08278537,0.447158031
100728A,88.753,-15.259,1.90402,3.35678E+21,380,198.5,1.567,-0.208743641,-0.273644003,1.541754306,0.605840144,-0.322561605,0.279671506,21.52592288,2.579783597,2.297760511,0.195068996
100724A,194.569,-11.095,1.94442,1.04041E+21,1.6,1.4,1.288,-0.134038869,-0.523896446,-0.311148348,-0.563387837,-0.524384898,0.28879008,21.01720452,0.204119983,0.146128036,0.109915863
100704A,133.639,-24.202,2.11575,3.36746E+21,60,197.5,3.6,0.182772237,-0.272490174,-0.025182399,0.599907988,1.148071919,0.32546435,21.52730245,1.77815125,2.2955671,0.556302501
100621A,315.309,-51.102,2.3024,1.92552E+22,210,63.6,0.542,0.527911984,1.443965204,0.709319181,-0.194407723,-1.064027106,0.362180777,22.28454803,2.322219295,1.803457116,-0.266000713
100615A,177.208,-19.483,2.37643,1.28509E+22,50,39,1.398,0.664802932,0.752067227,-0.074149171,-0.340338765,-0.44481299,0.375925026,22.10893354,1.698970004,1.591064607,0.145507171
100513A,169.606,3.617,2.25722,1.12825E+22,14,84,7.772,0.444368379,0.582622824,-0.25042955,-0.073391737,4.16601735,0.35357389,22.05240534,1.146128036,1.924279286,0.890532792
100425A,299.161,-26.463,2.17077,3.42503E+20,4.7,37,1.755,0.284511261,-0.599295856,-0.295968648,-0.352203077,-0.186565982,0.336613811,20.53466438,0.672097858,1.568201724,0.244277121
100424A,209.453,1.512,1.65736,2.00385E+21,15,104,2.465,-0.664849561,-0.419809787,-0.245532873,0.045251386,0.327034511,0.219416853,21.30186521,1.176091259,2.017033339,0.391816924
100418A,256.358,11.457,2.26662,4.16E+15,3.4,7,0.6235,0.461750183,-0.636298222,-0.302334329,-0.530167763,-1.005071556,0.355378717,15.61909333,0.531478917,0.84509804,-0.205163542
100413A,266.223,15.835,1.95801,2.79802E+21,62,191,3.9,-0.108909219,-0.334010462,-0.015389045,0.561348973,1.365086212,0.291814906,21.44685081,1.792391689,2.281033367,0.591064607
100316B,163.499,-45.464,2.23535,2.58912E+21,2,3.8,1.18,0.403927949,-0.356579281,-0.309189677,-0.549150662,-0.602510043,0.349345532,21.41315218,0.301029996,0.579783597,0.071882007
100302A,195.504,74.568,1.9307,5.3533E+16,3.1,17.9,4.813,-0.159408906,-0.636292888,-0.303803332,-0.46550726,2.025533043,0.285714797,16.72862158,0.491361694,1.252853031,0.682415862
100219A,154.202,-12.555,1.58721,2.66081E+18,3.7,18.8,4.5,-0.794565893,-0.636011207,-0.300865326,-0.46016832,1.799114797,0.200634391,18.42501386,0.568201724,1.274157849,0.653212514
091208B,29.411,16.881,2.03333,8.16791E+21,33,14.9,1.063,0.030367104,0.246133508,-0.157392684,-0.483303729,-0.687145617,0.308207868,21.91211094,1.51851394,1.173186268,0.026533265
91127,36.581,-18.948,1.80187,7.56361E+20,90,7.1,0.49,-0.39763207,-0.554584098,0.121717917,-0.529574547,-1.101642916,0.255723455,20.87872913,1.954242509,0.851258349,-0.30980392
091109A,309.252,-44.177,1.96352,7.86986E+21,16,48,3.5,-0.098720524,0.213933238,-0.240636196,-0.286949359,1.075733821,0.293035329,21.89596701,1.204119983,1.681241237,0.544068044
91029,60.166,-55.954,2.11535,2.82219E+21,24,39.2,2.752,0.182032585,-0.331399221,-0.201462778,-0.339152334,0.534644851,0.325382235,21.45058625,1.380211242,1.593286067,0.43964843
91024,339.24,56.885,1.49013,1.7184E+22,61,109.8,1.092,-0.974079242,1.220200063,-0.020285722,0.079657892,-0.666167569,0.173224158,22.23512426,1.785329835,2.04060234,0.038222638
91020,175.727,50.977,2.08587,5.08013E+21,37,34.6,1.71,0.127520291,-0.087459349,-0.137805975,-0.366440252,-0.219118126,0.319287238,21.70587483,1.568201724,1.539076099,0.23299611
91018,32.191,-57.546,1.98015,1.55551E+21,14,4.4,0.971,-0.067969524,-0.468246859,-0.25042955,-0.545591369,-0.753696667,0.29669809,21.19187281,1.146128036,0.643452676,-0.01278077
90927,343.929,-70.973,2.06549,1.04197E+21,2,2.2,1.37,0.089835062,-0.523727909,-0.309189677,-0.558642112,-0.465067658,0.315023097,21.01785522,0.301029996,0.342422681,0.136720567
090926B,46.31,-38.997,1.56483,1.39441E+22,73,109.7,1.24,-0.835949378,0.870172698,0.038474405,0.079064676,-0.559107184,0.194467164,22.14439049,1.86332286,2.040206628,0.093421685
90812,353.2,-10.609,1.88559,5.99391E+21,58,66.7,2.452,-0.242823071,0.011262218,-0.034975753,-0.176018039,0.317630558,0.275447266,21.77771022,1.763427994,1.824125834,0.389520466
90809,328.665,-0.083,1.94644,8.30851E+21,3.4,5.4,2.737,-0.13030363,0.261323436,-0.302334329,-0.539659212,0.523794136,0.289241021,21.91952315,0.531478917,0.73239376,0.437274797
90726,248.681,72.866,2.4288,1.06388E+22,8.6,67,2.71,0.761641767,0.513079747,-0.276871607,-0.174238392,0.50426285,0.385391754,22.02689264,0.934498451,1.826074803,0.432969291
090715B,251.337,44.837,2.02532,8.28035E+21,57,266,3,0.015555589,0.258281129,-0.039872431,1.006260686,0.714043333,0.306493651,21.91804869,1.755874856,2.424881637,0.477121255
90618,294.008,78.352,1.82831,2.46604E+21,1050,113.2,0.54,-0.348741125,-0.36987641,4.822528032,0.099827223,-1.065473868,0.262049835,21.39200012,3.021189299,2.053846427,-0.26760624
90530,179.4,26.59,2.03975,8.11758E+20,11,48,1.266,0.042238506,-0.548599201,-0.265119582,-0.286949359,-0.540299279,0.309576942,20.90942658,1.041392685,1.681241237,0.102433706
90529,212.446,24.45,2.22623,3.26E+13,6.8,100,2.625,0.387063901,-0.636298668,-0.285685626,0.021522761,0.442775467,0.347570031,13.5132176,0.832508913,2,0.419129308
90519,142.317,0.19,1.46604,1.35112E+22,12,64,3.9,-1.018624736,0.823403709,-0.260222905,-0.192034861,1.365086212,0.16614582,22.13069392,1.079181246,1.806179974,0.591064607
090516A,138.246,-11.848,2.09,1.57E+21,90,210,4.109,0.13515719,-0.466681411,0.121717917,0.67405994,1.516272835,0.320146286,21.19589965,1.954242509,2.322219295,0.613736141
90510,333.552,-26.598,1.75106,4.39356E+20,3.4,0.3,0.903,-0.491586265,-0.5888322,-0.302334329,-0.569913209,-0.802886573,0.243301027,20.64281656,0.531478917,-0.522878745,-0.04431225
90426,189.082,32.978,2.03664,2.04663E+21,1.8,1.2,2.609,0.036487718,-0.415187987,-0.310169012,-0.564574268,0.431201372,0.308914269,21.31103934,0.255272505,0.079181246,0.416474079
90424,189.531,16.829,1.96315,4.26707E+21,210,48,0.544,-0.099404701,-0.175299483,0.709319181,-0.286949359,-1.062580344,0.292953484,21.63012977,2.322219295,1.681241237,-0.2644011
90423,148.891,18.165,1.8158,5.64459E+22,5.9,10.3,8,-0.371873716,5.461917224,-0.290092636,-0.510591647,4.330948213,0.259068012,22.7516324,0.770852012,1.012837225,0.903089987
090418A,269.32,33.407,2.03408,1.05599E+22,46,56,1.608,0.03175395,0.504555669,-0.09373588,-0.23949211,-0.292902985,0.30836803,22.02365981,1.662757832,1.748188027,0.206286044
90407,68.979,-12.684,2.34527,2.95403E+21,11,310,1.4485,0.607184102,-0.317155692,-0.265119582,1.267275557,-0.408282251,0.370192848,21.4704149,1.041392685,2.491361694,0.1609185
90313,198.4,8.086,2.07619,2.76158E+22,14,79,3.375,0.109620732,2.347214932,-0.25042955,-0.103052518,0.985311199,0.317267095,22.44115763,1.146128036,1.897627091,0.528273777
90205,220.917,-27.848,2.03416,6.57538E+21,1.9,8.8,4.7,0.031901881,0.074082186,-0.309679345,-0.519489881,1.943790992,0.30838511,21.81792086,0.278753601,0.944482672,0.672097858
90113,32.067,33.436,2.25448,3.13819E+21,7.6,9.1,1.7493,0.439301768,-0.297259696,-0.281768284,-0.517710235,-0.190689253,0.353046387,21.49667923,0.880813592,0.959041392,0.242864296
90102,128.248,33.107,1.76997,5.29373E+21,0.68,27,1.547,-0.456619254,-0.064382759,-0.315653291,-0.411524639,-0.337029225,0.247965905,21.72376179,-0.167491087,1.431363764,0.189490314
81222,22.748,-34.095,1.99296,2.97084E+21,48,24,2.7,-0.044282194,-0.315339599,-0.083942525,-0.429321108,0.49702904,0.299498582,21.47287926,1.681241237,1.380211242,0.431363764
81221,15.801,-24.542,2.4947,3.74385E+21,181,34,2.26,0.883499304,-0.231826326,0.567315543,-0.369999546,0.178741411,0.397018327,21.57331844,2.257678575,1.531478917,0.354108439
081203A,233.071,63.514,2.03508,4.58954E+21,77,294,2.1,0.033603078,-0.140460962,0.058061113,1.172361059,0.063000455,0.308581486,21.66176916,1.886490725,2.46834733,0.322219295
81121,89.282,-60.612,1.89531,1.04036E+21,41,14,2.512,-0.224849547,-0.523901848,-0.118219266,-0.488642669,0.361033417,0.277680254,21.01718365,1.612783857,1.146128036,0.400019635
81118,82.572,-43.305,2.54386,5.01E+15,12,67,2.58,0.974402438,-0.63629813,-0.260222905,-0.174238392,0.410223323,0.405493206,15.69983773,1.079181246,1.826074803,0.411619706
81029,346.776,-68.179,1.95818,3.14084E+21,21,270,3.8479,-0.108594867,-0.296973399,-0.21615281,1.02998931,1.327398063,0.291852611,21.49704581,1.322219295,2.431363764,0.585223777
081028A,121.893,2.305,2.51,8E+20,37,260,3.038,0.911790963,-0.549869494,-0.137805975,0.970667749,0.74153181,0.399673721,20.90308999,1.568201724,2.414973348,0.48258777
81008,279.968,-57.433,1.98207,1.37301E+21,43,185.5,1.9685,-0.064419199,-0.487963515,-0.108425912,0.528722114,-0.032124144,0.297118988,21.1376737,1.633468456,2.268343914,0.294135419
81007,339.963,-40.146,2.102,4.96658E+21,7.1,10,0.5295,0.157346726,-0.099726891,-0.284216623,-0.512371294,-1.073069368,0.322632712,21.69605744,0.851258349,1,-0.276134036
80928,95.061,-55.176,2.13864,3.23856E+21,25,280,1.692,0.225098777,-0.286416075,-0.196566101,1.089310872,-0.232138983,0.330137685,21.51035195,1.397940009,2.447158031,0.228400359
080916A,336.289,-57.026,1.88453,5.53508E+21,40,60,0.689,-0.244783147,-0.038308156,-0.123115943,-0.215763485,-0.957690102,0.275203055,21.7431239,1.602059991,1.77815125,-0.161780778
80913,65.741,-25.127,1.70843,8.94847E+20,5.6,8,6.44,-0.570414593,-0.539622559,-0.291561639,-0.524235606,3.20247389,0.232597189,20.95174879,0.748188027,0.903089987,0.808885867
80906,228.055,-80.54,2.00001,1.96894E+21,35,147,2,-0.031245842,-0.423580908,-0.147599329,0.300334101,-0.009337643,0.301032167,21.29423336,1.544068044,2.167317335,0.301029996
080905B,301.746,-62.568,1.86248,2.16437E+22,18,128,2.374,-0.28555642,1.702010318,-0.230842842,0.187623134,0.261206842,0.270091618,22.33533151,1.255272505,2.10720997,0.375480715
080905A,287.663,-18.865,1.52991,2.14486E+21,1.4,1,0.1218,-0.900520929,-0.404575564,-0.312127683,-0.5657607,-1.367991792,0.184665883,21.33139895,0.146128036,0,-0.914352712
80810,356.783,0.31,2.11482,2.82355E+21,46,106,3.35,0.181052548,-0.331252291,-0.09373588,0.057115698,0.967226675,0.325273409,21.45079548,1.662757832,2.025305865,0.525044807
80805,314.231,-62.433,2.04224,1.14638E+22,25,78,1.505,0.046842835,0.602209836,-0.196566101,-0.108984674,-0.367411226,0.310106778,22.0593286,1.397940009,1.892094603,0.1775365
80804,328.675,-53.189,1.81617,1.36745E+21,36,34,2.2045,-0.371189539,-0.488564198,-0.142702652,-0.369999546,0.138593767,0.259156498,21.13591146,1.556302501,1.531478917,0.343310103
80721,224.481,-11.709,1.9433,6.27022E+21,120,16.2,2.602,-0.136109892,0.041113776,0.268618233,-0.475591926,0.426137705,0.288539851,21.79728278,2.079181246,1.209515015,0.415307292
80710,8.259,19.484,2.00149,7.89266E+20,14,120,0.845,-0.028509132,-0.551029158,-0.25042955,0.140165885,-0.84484267,0.301353425,20.89722339,1.146128036,2.079181246,-0.073143291
80707,32.627,33.1,2.07126,3.61762E+21,5.2,27.1,1.23,0.100504531,-0.24546377,-0.29352031,-0.410931423,-0.566340994,0.316234618,21.55842295,0.716003344,1.432969291,0.089905111
80607,194.964,15.91,2.03418,2.42029E+22,240,79,3.036,0.031938863,1.978497257,0.856219498,-0.103052518,0.740085048,0.30838938,22.38386741,2.380211242,1.897627091,0.482301767
80605,262.13,4.01,1.7467,5.47122E+21,133,20,1.6398,-0.499648463,-0.045207365,0.332275037,-0.453049732,-0.26989947,0.24221832,21.73808418,2.123851641,1.301029996,0.214790882
