GRB,BAT RA (J2000),BAT Dec (J2000),XRT Spectral Index (Gamma),XRT Column Density (NH),BAT Fluence,BAT T90,Redshift,Normalized XRT Spectral Index (Gamma),Normalized XRT Column Density (NH),Normalized BAT Fluence,Normalized BAT T90,Normalized Redshift,Log10 Scale XRT Spectral Index (Gamma),Log10 Scale XRT Column Density (NH),Log10 Scale BAT Fluence,Log10 Scale BAT T90,Log10 Scale Redshift
060904B,58.218,-0.729,2.18877,3.90147E+21,16.2,171.5,0.703,0.317795565,-0.214797617,-0.239656861,0.445671928,-0.947562769,0.340200127,21.59122827,1.209515015,2.234264124,-0.153044675
60814,221.338,20.591,2.11591,1.01577E+22,146,145.3,0.84,0.183068097,0.4611034,0.39593184,0.290249436,-0.848459575,0.325497191,22.00679538,2.164352856,2.162265614,-0.075720714
60729,95.287,-62.221,2.02393,9.13472E+20,26.1,115.3,0.54,0.012985301,-0.53761038,-0.191179756,0.112284751,-1.065473868,0.306195488,20.96069524,1.416640507,2.061829307,-0.26760624
60719,18.42,-48.381,2.57067,3.34098E+21,15,66.9,1.532,1.02397756,-0.275350979,-0.245532873,-0.174831608,-0.34787994,0.410046329,21.52387388,1.176091259,1.825426118,0.185258765
60714,227.855,-6.544,2.04425,1.02942E+22,28.3,115,2.71,0.050559582,0.475850379,-0.180407066,0.110505104,0.50426285,0.310534006,22.0125926,1.451786436,2.06069784,0.432969291
60707,357.069,-17.904,2.09345,1.61614E+21,16,66.2,3.43,0.141536682,-0.461696608,-0.240636196,-0.178984117,1.025097153,0.320862593,21.20847898,1.204119983,1.820857989,0.53529412
60614,320.877,-53.027,1.89544,3.25209E+20,204,108.7,0.125,-0.22460916,-0.601164239,0.679939118,0.07313252,-1.365676973,0.277710041,20.51216256,2.309630167,2.036229544,-0.903089987
060607A,329.705,-22.496,1.61002,6.25383E+21,25.5,102.2,3.082,-0.752387282,0.039343058,-0.194117763,0.034573505,0.773360573,0.206831271,21.79614607,1.40654018,2.009450896,0.488832634
60605,322.128,-6.071,2.02128,5.93387E+21,6.97,79.1,3.8,0.008085112,0.004775708,-0.284853191,-0.102459303,1.292748114,0.305626479,21.77333803,0.843232778,1.898176483,0.579783597
60604,337.224,-10.945,2.1711,9.77306E+21,4.02,95,2.1357,0.285121473,0.419548251,-0.299298389,-0.008138019,0.088825156,0.336679827,21.99003057,0.604226053,1.977723605,0.329540248
060602A,149.579,0.314,7.12842,1.01139E+22,16.1,75,0.787,9.451840843,0.456367081,-0.240146528,-0.126781143,-0.886798767,0.85299328,22.00491694,1.206825876,1.875061263,-0.104025268
60526,232.834,0.288,1.90677,1.29E+16,12.6,298.2,3.21,-0.203658539,-0.636297278,-0.257284898,1.197276114,0.865953338,0.28029831,16.11058971,1.100370545,2.474507639,0.506505032
60522,322.954,2.895,2.1794,3.55534E+22,11.4,71.1,5.11,0.300469236,3.204765232,-0.263160911,-0.149916552,2.240377192,0.338336947,22.55088114,1.056904851,1.851869601,0.7084209
60512,195.748,41.209,2.70163,2.3234E+16,2.32,8.5,0.4428,1.266139367,-0.636296162,-0.30762274,-0.521269528,-1.135786498,0.43162587,16.36612399,0.365487985,0.929418926,-0.353792388
060510B,239.259,78.591,2.1317,1.00498E+22,40.7,275.2,4.9,0.212265829,0.449446265,-0.119688269,1.060836523,2.088467187,0.328726085,22.00215742,1.609594409,2.43964843,0.69019608
60505,331.772,-27.815,1.68055,1.27418E+21,9.44,4,0.089,-0.621968282,-0.49864076,-0.272758398,-0.547964231,-1.391718688,0.225451438,21.10523078,0.974971994,0.602059991,-1.050609993
060502B,278.927,52.618,3.06579,2.12759E+21,0.4,0.131,0.287,1.939517831,-0.406441354,-0.31702436,-0.570915743,-1.248489255,0.486542403,21.32788794,-0.397940009,-0.882728704,-0.542118103
060502A,240.937,66.604,2.02719,2.86367E+21,23.1,28.4,1.51,0.019013458,-0.326917868,-0.205869788,-0.40321962,-0.363794321,0.306894455,21.45692297,1.36361198,1.45331834,0.178976947
60418,236.431,-3.64,1.94118,4.50436E+21,83.3,103.1,1.49,-0.140030044,-0.149663509,0.08891018,0.039912446,-0.37826194,0.288065808,21.65363309,1.920645001,2.013258665,0.173186268
060223A,55.186,-17.134,2.01015,3.14649E+22,6.73,11.3,4.41,-0.012495683,2.763058117,-0.286028394,-0.504659491,1.734010509,0.303228466,22.49782636,0.828015064,1.053078443,0.644438589
